,發文ID,文章ID,發文時間,更新時間,留言內容,按讚數,關鍵字
59,c6517c03-055e-4901-a61b-1433552ea3b8,240324910,2022-10-24 04:12:18.566000+00:00,2022-10-24T04:12:18.566Z,老井崇德真不推,1.0,"['老井', '崇德', '真', '不', '推']"
60,b10207aa-ee14-45ff-acf8-ef073c50c72a,240324910,2022-10-24 04:16:44.821000+00:00,2022-10-24T04:16:44.821Z,沒有人推大股嗎🥺❤️,1.0,"['沒有', '人', '推大股', '嗎', '🥺', '❤', '️']"
61,01ac61c7-0b9f-44a3-a3bc-9a0ec1d3286a,240324910,2022-10-24 04:18:47.179000+00:00,2022-10-24T04:18:47.179Z,B14老井吃安格斯牛套餐肉味超重真不推,0.0,"['B14', '老井', '吃', '安格斯', '牛', '套餐', '肉味', '超重', '真', '不', '推']"
62,6453cc76-37e2-44c5-9f10-c73c8d2553a8,240324910,2022-10-24 04:35:10.731000+00:00,2022-10-24T04:35:10.731Z,小十不錯吃,1.0,"['小十', '不錯', '吃']"
63,94364434-8832-43f5-813e-27d57e7d7503,240324910,2022-10-24 04:36:27.684000+00:00,2022-10-24T04:36:27.684Z,一生推大腕,0.0,"['一生', '推', '大腕']"
64,8e9ed0d3-2b05-449b-b45d-345c63330aa9,240324910,2022-10-24 04:45:34.821000+00:00,2022-10-24T04:45:34.821Z,看到老井評價這麼好我好意外我覺得肉味騷味很重像沒處理好品質⋯只能說個人味覺喜愛不同,1.0,"['看到', '老井', '評價', '這麼', '好', '我', '好', '意外', '我', '覺得', '肉味', '騷味', '很重', '像', '沒', '處理', '好', '品質', '⋯', '只能', '說', '個人', '味覺', '喜愛', '不同']"
65,a3e2b6cc-8ccf-41f8-8f41-985a8f6e69b9,240324910,2022-10-24 04:54:52.492000+00:00,2022-10-24T04:54:52.492Z,推推298燒肉燒肉心中第一名,0.0,"['推推', '298', '燒肉', '燒肉', '心中', '第', '一名']"
66,66864601-f07e-4c0f-8e9b-bc5a6e8b8a49,240324910,2022-10-24 05:00:55.794000+00:00,2022-10-24T05:00:55.794Z,剛吃完佐賀野人讚讚,0.0,"['剛吃', '完', '佐賀', '野', '人', '讚', '讚']"
67,2ecd614d-df3c-4a80-a2ab-a719b3d99ae3,240324910,2022-10-24 05:08:48.622000+00:00,2022-10-24T05:08:48.622Z,俺達超級好吃,0.0,"['俺', '達', '超級', '好吃']"
68,e506ca51-515f-47e6-bc8c-b91bd424382d,240324910,2022-10-24 05:21:05.570000+00:00,2022-10-24T05:21:05.570Z,我推薦大股記得要吃中科店😉,0.0,"['我', '推薦', '大股', '記得', '要', '吃', '中科', '店', '😉']"
69,082581de-d3ea-4a46-a1a8-e1b0ac5f5c03,240324910,2022-10-24 05:26:03.357000+00:00,2022-10-24T05:26:03.357Z,森森真很雷哈哈哈,0.0,"['森森真', '很雷', '哈哈哈']"
